,Player,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDribblers,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Clr,Err
184,Enis Bardhi,70,43,30,34,6,28,87,32.2,59,35,3,32,31,36,1
185,Francesco Bardi,0,0,0,0,0,0,0,,0,0,0,0,0,2,0
186,Phil Bardsley,32,19,15,14,3,12,21,57.1,9,25,12,13,31,68,1
187,Nicolò Barella,99,65,38,41,20,30,82,36.6,52,61,2,59,38,27,0
188,Philipp Bargfrede,23,15,9,12,2,10,28,35.7,18,35,11,24,34,45,1
189,Antonino Barillà,64,36,40,17,7,19,53,35.8,34,40,13,27,36,50,1
190,Ross Barkley,15,10,5,7,3,4,14,28.6,10,8,1,7,9,17,2
191,Aymen Barkok,13,6,4,9,0,4,19,21.1,15,8,1,7,4,3,0
192,Ashley Barnes,28,17,4,17,7,6,29,20.7,23,29,8,21,2,25,0
193,Harvey Barnes,10,6,5,4,1,4,6,66.7,2,7,1,6,3,7,0
194,Antonio Barragán,14,8,9,4,1,2,12,16.7,10,15,4,11,5,30,2
195,Antonio Barreca,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
196,Antonio Barreca,11,8,8,3,0,7,11,63.6,4,3,2,1,7,18,0
197,Leandro Barreiro Martins,4,4,2,0,2,1,2,50.0,1,0,0,0,2,1,0
198,Ander Barrenetxea,7,2,2,0,5,2,8,25.0,6,8,0,8,4,1,0
199,Édgar Barreto,28,19,15,6,7,10,26,38.5,16,11,3,8,17,7,0
200,Musa Barrow,9,5,5,3,1,4,6,66.7,2,4,0,4,0,2,0
201,Fin Bartels,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,0
202,Marc Bartra,86,55,55,26,5,41,76,53.9,35,46,21,25,60,132,2
203,Andrea Barzagli,1,1,0,1,0,1,2,50.0,1,2,2,0,4,10,0
204,Daniele Baselli,65,45,22,34,9,16,44,36.4,28,30,6,24,34,32,0
205,Toma Bašić,32,16,5,21,6,11,31,35.5,20,13,1,12,9,22,1
