,Player,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh
484,Julian Chabot,1,1,1,100.0,0.16,0.16,1.00,1.00,8.5,0,0,0,0.1,0.1,0.10
485,Florian Chabrolle,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
486,Fouad Chafik,0,7,1,14.3,0.41,0.06,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03
487,Sofian Chakla,0,1,0,0.0,0.50,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.08
488,Nathaniel Chalobah,0,9,0,0.0,0.87,0.00,0.00,,23.3,2,0,0,0.5,0.5,0.05
489,Calum Chambers,1,12,2,16.7,0.98,0.16,0.08,0.50,12.0,0,0,0,0.8,0.8,0.07
490,Jhon Chancellor,3,13,3,23.1,0.52,0.12,0.23,1.00,8.1,0,0,0,2.4,2.4,0.18
491,Timothy Chandler,5,20,8,40.0,1.48,0.59,0.25,0.63,13.5,0,0,0,2.0,2.0,0.10
492,Kwon Chang-hoon,2,15,6,40.0,2.00,0.80,0.13,0.33,20.6,0,0,0,2.1,2.1,0.14
493,Gaëtan Charbonnier,4,49,14,28.6,2.14,0.61,0.08,0.29,18.5,0,0,2,7.1,5.5,0.11
494,Brendan Chardonnet,0,4,0,0.0,0.44,0.00,0.00,,19.6,0,0,0,0.3,0.3,0.08
495,Charles,6,23,9,39.1,1.59,0.62,0.22,0.56,15.5,0,1,2,4.6,3.0,0.13
496,Xavier Chavalerin,1,21,3,14.3,0.88,0.13,0.05,0.33,21.5,1,0,0,0.9,0.9,0.04
497,Pablo Chavarría,0,5,0,0.0,2.15,0.00,0.00,,11.7,0,0,0,0.8,0.8,0.17
498,Aurélien Chedjou,0,8,2,25.0,0.37,0.09,0.00,0.00,10.3,0,0,0,0.7,0.7,0.08
499,Pape Cheikh Diop,0,2,0,0.0,0.30,0.00,0.00,,18.7,0,0,0,0.1,0.1,0.05
500,Chema,0,3,0,0.0,0.87,0.00,0.00,,14.1,0,0,0,0.2,0.2,0.07
501,Rayan Cherki,0,3,2,66.7,1.89,1.26,0.00,0.00,23.5,0,0,0,0.2,0.2,0.07
502,Denis Cheryshev,1,22,7,31.8,2.14,0.68,0.05,0.14,19.2,0,0,0,3.4,3.4,0.16
503,Giorgio Chiellini,1,1,1,100.0,0.45,0.45,1.00,1.00,8.6,0,0,0,0.2,0.2,0.19
504,Federico Chiesa,10,109,41,37.6,3.72,1.40,0.08,0.22,18.3,2,1,2,12.2,10.6,0.10
505,Ben Chilwell,3,16,6,37.5,0.61,0.23,0.19,0.50,19.1,0,0,0,1.0,1.0,0.06
506,Vlad Chiricheș,0,2,0,0.0,0.25,0.00,0.00,,8.8,0,0,0,0.2,0.2,0.11
