,name,passes completed,passes attempted,passes success rate,total distance of passes (yards),progressive distance,short passes completed,short passes attempted,short passes succes rate,medium passes completed,medium passes attempted,medium passes succes rate,long passes completed,long passes attempted,long passes succes rate,assists,expected assists 2nd deegree,expected assists,key passes,passes into 1/3,passes into penalty area
304,Jason Berthomier,19,19,100.0,248,34,13,13,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0,1,0
305,Marco Bertini,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0
306,Beto,190,299,63.5,2421,295,128,179,71.5,40,67,59.7,7,13,53.8,1,2.6,1.9,23,9,4
307,Owen Bevan,2,3,66.7,38,7,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0
308,Matteo Bianchetti,729,935,78.0,14388,6137,242,281,86.1,400,455,87.9,79,171,46.2,0,0.5,0.5,5,49,8
309,Alessandro Bianco,67,78,85.9,1237,231,29,34,85.3,28,34,82.4,9,9,100.0,0,0.0,0.0,1,11,1
310,Giulian Biancone,15,21,71.4,253,126,6,7,85.7,8,10,80.0,1,3,33.3,0,0.0,0.0,0,0,0
311,Ermin Bičakčić,68,96,70.8,1373,653,24,27,88.9,35,47,74.5,9,19,47.4,0,0.0,0.0,0,6,1
312,Pedro Bigas,843,1053,80.1,16786,7505,284,314,90.4,449,500,89.8,100,200,50.0,0,0.0,0.3,0,63,1
313,Jaka Bijol,1170,1381,84.7,24657,10028,322,367,87.7,681,730,93.3,155,253,61.3,2,1.6,1.7,9,54,5
314,El Bilal Touré,183,258,70.9,2226,311,130,158,82.3,44,65,67.7,2,2,100.0,2,1.3,0.7,14,7,3
315,El Bilal Touré,16,20,80.0,234,46,9,11,81.8,6,7,85.7,0,1,0.0,0,0.1,0.0,2,1,1
316,Philip Billing,813,1055,77.1,11823,3165,460,542,84.9,257,317,81.1,45,94,47.9,1,3.2,2.6,26,49,9
317,Jean-Claude Billong,33,34,97.1,619,231,10,10,100.0,21,21,100.0,2,3,66.7,0,0.0,0.0,0,0,0
318,Cristiano Biraghi,1433,1994,71.9,27338,10270,603,677,89.1,614,783,78.4,196,456,43.0,4,5.5,5.8,82,114,35
319,Samuele Birindelli,572,777,73.6,9832,2913,265,309,85.8,249,326,76.4,47,107,43.9,1,2.2,1.9,18,27,19
320,Veljko Birmančević,107,161,66.5,1391,503,62,87,71.3,33,45,73.3,2,8,25.0,0,0.2,0.2,2,9,4
321,Tom Bischof,84,121,69.4,1266,420,43,55,78.2,26,36,72.2,8,16,50.0,0,0.7,0.8,5,9,4
322,Yves Bissouma,666,733,90.9,10412,2333,340,357,95.2,271,289,93.8,38,48,79.2,0,0.5,0.4,8,55,5
323,Kristijan Bistrović,101,140,72.1,1867,682,45,52,86.5,35,48,72.9,16,25,64.0,0,0.4,0.5,6,10,2
324,Leonardo Bittencourt,579,792,73.1,8839,2535,316,360,87.8,212,278,76.3,30,82,36.6,2,2.7,2.4,15,44,26
325,Marco Bizot,799,1096,72.9,24651,17824,87,87,100.0,405,411,98.5,305,595,51.3,0,0.0,0.1,0,14,1
326,Antonio Blanco,57,61,93.4,818,137,31,33,93.9,22,24,91.7,1,1,100.0,0,0.0,0.1,1,3,1
327,Lautaro Blanco,235,416,56.5,4363,2284,117,141,83.0,85,139,61.2,32,107,29.9,2,1.5,1.3,12,19,17
328,Rubén Blanco,166,206,80.6,3744,2408,42,42,100.0,90,91,98.9,32,71,45.1,0,0.0,0.0,0,0,0
329,Ludovic Blas,933,1186,78.7,17210,3890,392,449,87.3,393,464,84.7,117,209,56.0,5,5.8,4.8,47,87,27
330,Janis Blaswich,988,1142,86.5,21548,10888,248,249,99.6,588,593,99.2,147,292,50.3,0,0.0,0.0,0,11,0
331,Miha Blažič,1034,1182,87.5,21289,7678,302,330,91.5,581,622,93.4,138,208,66.3,0,0.1,0.2,1,42,2
332,Joaquín Blázquez,21,29,72.4,728,535,6,6,100.0,7,8,87.5,8,14,57.1,0,0.0,0.0,0,1,0
333,Alexis Blin,766,963,79.5,12309,3766,379,446,85.0,290,353,82.2,59,96,61.5,0,1.1,0.8,15,88,13
